Service,EC2-Instances($),Elastic Container Service for Kubernetes($),EC2-Other($),Relational Database Service($),VPC($),Elastic Container Service($),Elastic Load Balancing($),CloudWatch($),Key Management Service($),Secrets Manager($),EC2 Container Registry (ECR)($),Cost Explorer($),Inspector($),Security Hub($),S3($),Service Catalog($),Location Service($),SQS($),DynamoDB($),SNS($),Glacier($),Step Functions($),Lightsail($),Simple Workflow Service($),CloudShell($),CloudTrail($),Glue($),Tax($),Systems Manager($),CloudFormation($),Lambda($),X-Ray($),Total costs($)
19-06-2025,11.74501189,,1.956951457,0.011550293,2.522829185,3.399664964,2.194948597,1.004567749,0.200573002,0.040230003,1.271010625,,,0.004,0.00022414,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,24.35156198
20-06-2025,11.9616,,2.012728646,0.011550293,1.892612545,1.91404472,1.729702996,0.606181158,0.195059446,0.040235003,0.711960603,,,0.004,0.000183243,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,21.07985874
21-06-2025,11.9616,,2.013225986,0.011550293,0.96,,1.080020668,0.004925335,0.200558002,0.040230003,0.00047627,,,0.004,8.84448E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,16.27667508
22-06-2025,11.9616,,2.013264503,0.011550293,0.96,,1.080017414,0.005698564,0.200864002,0.040350003,0.00047627,,,0.004,0.000151269,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,16.27797244
23-06-2025,11.9616,,2.006165887,0.011550293,0.96,,1.080013637,0.004918564,0.200528002,0.040230003,0.000514515,,,0.004,0.000729244,,,0,0.0000035,0.000001,5.06E-08,3.24E-08,,0,,0,0,,,,,,16.27025473
24-06-2025,11.9616,,2.012828805,0.011550293,0.96,,1.080017049,0.004918564,0.200576002,0.040235003,0.000815561,,,0.0032,0.000128236,,,0,,0.0000015,5.06E-08,3.24E-08,,0,,0,0,,,,,,16.2758711
25-06-2025,11.9616,,2.014661752,0.011550293,0.96,,1.080016255,0.004918564,0.200528002,0.040230003,0.000815561,,,0.0032,9.92381E-05,,,0,,0.000001,5.06E-08,3.24E-08,,0,,0,0,,,,,,16.27762075
26-06-2025,11.9616,,2.013099258,0.011550293,1.04078057,0.190187428,1.147526203,0.080379173,0.200576002,0.040245003,0.06233618,,,0.0032,0.000512416,,,0,,0.0000015,5.06E-08,3.24E-08,,0,,0,0,,,,,,16.75199411
27-06-2025,12.12219378,,2.42776916,0.011550293,1.556993075,1.213218952,1.50898609,0.382746608,0.200792002,0.040345003,0.000815561,,,0.0032,0.000418846,,,0,,0.0000015,7.59E-08,4.86E-08,,0,,0,0,,,,,,19.46903099
28-06-2025,11.9616,,2.005997,0.011550293,1.79120423,1.666519638,1.620111136,0.509866469,0.199187113,0.040235003,0.000815561,,,0.0032,0.000222863,,,0,,0.0000015,5.06E-08,3.24E-08,,0,,0,0,,,,,,19.81051089
29-06-2025,11.9616,,2.012028688,0.011550293,1.790226375,1.667472257,1.620119269,0.509869768,0.199139113,0.040230003,0.000815561,,,0.0032,0.000181463,,,0,,0.000001,5.06E-08,3.24E-08,,0,,0,0,,,,,,19.81643387
30-06-2025,13.46503152,,2.064498855,0.011550293,1.34517223,0.444661222,1.215046647,0.161672557,0.200576002,0.040235003,0.001414669,,,0.0032,0.000613582,,,0,,0.0000015,5.06E-08,3.24E-08,,0,,0,0,,,,,,18.95367416
01-07-2025,14.3424,,2.058057572,0.011177703,1.2,,1.080019862,0.0052,0.193548384,0.038939677,0.002666335,,,0.004,0.000201115,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,0,,,,,18.93621073
02-07-2025,14.3424,,2.065509775,0.011177703,1.2,,1.080027771,0.00806,0.193548384,0.039059677,0.002666335,,,0.004,0.000387059,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,18.94683683
03-07-2025,14.3424,,2.064693933,0.011177703,1.2,,1.080017689,0.009725806,0.186011868,0.038939677,0.002666335,,,0.004,0.000570258,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,18.94020335
04-07-2025,14.88237671,0.857327039,2.138085391,0.011177703,1.239808335,,1.080019195,0.260395554,0.194163384,0.038944677,0.002666335,,,0.004,0.000360661,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,20.70932507
05-07-2025,14.3424,,2.066258415,0.011177703,1.2,,1.080016848,0.017565806,0.192996298,0.039054677,0.002666335,,,0.004,0.000369279,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,18.95650549
06-07-2025,14.3424,,2.05815517,0.011177703,1.2,,1.080022443,0.014705806,0.194127384,0.038954677,0.002666335,,,0.004,0.000321543,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,18.94653114
07-07-2025,14.49300356,2.267997168,2.427884444,0.011177703,1.216458335,,1.080035356,0.106662582,0.199830728,0.038939677,0.002666335,,,0.004,0.000337122,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,21.8489931
